Date: 2024-11-10 | Time: 04:56:00 | Transition: surprise -> surprise | Duration: 1.9s | Scores: {'angry': 0.39, 'disgust': 0.12, 'fear': 0.29, 'happy': 0.76, 'sad': 0.23, 'surprise': 0.71, 'neutral': 0.78}
Date: 2024-12-02 | Time: 19:38:00 | Transition: happy -> surprise | Duration: 0.64s | Scores: {'angry': 0.05, 'disgust': 0.24, 'fear': 0.1, 'happy': 0.83, 'sad': 0.26, 'surprise': 0.63, 'neutral': 0.79}
Date: 2024-12-02 | Time: 20:41:00 | Transition: disgust -> fear | Duration: 1.82s | Scores: {'angry': 0.14, 'disgust': 0.25, 'fear': 0.13, 'happy': 0.05, 'sad': 0.09, 'surprise': 0.05, 'neutral': 0.34}
Date: 2024-12-02 | Time: 23:22:00 | Transition: surprise -> surprise | Duration: 1.8s | Scores: {'angry': 0.18, 'disgust': 0.11, 'fear': 0.18, 'happy': 0.89, 'sad': 0.11, 'surprise': 0.78, 'neutral': 0.54}
Date: 2024-12-03 | Time: 02:09:00 | Transition: surprise -> surprise | Duration: 0.75s | Scores: {'angry': 0.27, 'disgust': 0.16, 'fear': 0.23, 'happy': 0.71, 'sad': 0.05, 'surprise': 0.74, 'neutral': 0.73}
Date: 2024-12-03 | Time: 08:29:00 | Transition: sad -> surprise | Duration: 0.24s | Scores: {'angry': 0.39, 'disgust': 0.27, 'fear': 0.21, 'happy': 0.76, 'sad': 0.23, 'surprise': 0.74, 'neutral': 0.87}
Date: 2024-12-03 | Time: 10:07:00 | Transition: disgust -> disgust | Duration: 0.86s | Scores: {'angry': 0.13, 'disgust': 0.3, 'fear': 0.07, 'happy': 0.39, 'sad': 0.08, 'surprise': 0.07, 'neutral': 0.13}
Date: 2024-12-03 | Time: 18:28:00 | Transition: fear -> happy | Duration: 1.02s | Scores: {'angry': 0.27, 'disgust': 0.21, 'fear': 0.24, 'happy': 0.83, 'sad': 0.26, 'surprise': 0.57, 'neutral': 0.9}
Date: 2024-12-03 | Time: 21:43:00 | Transition: surprise -> happy | Duration: 1.91s | Scores: {'angry': 0.35, 'disgust': 0.1, 'fear': 0.08, 'happy': 0.7, 'sad': 0.14, 'surprise': 0.71, 'neutral': 0.57}
Date: 2024-12-03 | Time: 22:58:00 | Transition: angry -> fear | Duration: 0.7s | Scores: {'angry': 0.19, 'disgust': 0.06, 'fear': 0.06, 'happy': 0.34, 'sad': 0.29, 'surprise': 0.33, 'neutral': 0.06}
Date: 2024-12-03 | Time: 23:01:00 | Transition: fear -> disgust | Duration: 0.66s | Scores: {'angry': 0.16, 'disgust': 0.16, 'fear': 0.15, 'happy': 0.08, 'sad': 0.29, 'surprise': 0.11, 'neutral': 0.23}
Date: 2024-12-04 | Time: 03:48:00 | Transition: surprise -> fear | Duration: 1.0s | Scores: {'angry': 0.19, 'disgust': 0.05, 'fear': 0.22, 'happy': 0.3, 'sad': 0.06, 'surprise': 0.06, 'neutral': 0.21}
Date: 2024-12-04 | Time: 05:52:00 | Transition: sad -> happy | Duration: 0.78s | Scores: {'angry': 0.25, 'disgust': 0.2, 'fear': 0.15, 'happy': 0.85, 'sad': 0.05, 'surprise': 0.77, 'neutral': 0.63}
Date: 2024-12-04 | Time: 11:06:00 | Transition: fear -> sad | Duration: 0.22s | Scores: {'angry': 0.32, 'disgust': 0.29, 'fear': 0.15, 'happy': 0.38, 'sad': 0.26, 'surprise': 0.11, 'neutral': 0.19}
Date: 2024-12-04 | Time: 12:05:00 | Transition: neutral -> neutral | Duration: 1.39s | Scores: {'angry': 0.28, 'disgust': 0.25, 'fear': 0.24, 'happy': 0.65, 'sad': 0.19, 'surprise': 0.69, 'neutral': 0.71}
Date: 2024-12-04 | Time: 12:38:00 | Transition: happy -> happy | Duration: 0.33s | Scores: {'angry': 0.29, 'disgust': 0.25, 'fear': 0.05, 'happy': 0.79, 'sad': 0.18, 'surprise': 0.79, 'neutral': 0.69}
Date: 2024-12-04 | Time: 14:25:00 | Transition: sad -> neutral | Duration: 1.95s | Scores: {'angry': 0.4, 'disgust': 0.18, 'fear': 0.2, 'happy': 0.66, 'sad': 0.15, 'surprise': 0.63, 'neutral': 0.67}
Date: 2024-12-04 | Time: 18:01:00 | Transition: neutral -> neutral | Duration: 0.91s | Scores: {'angry': 0.24, 'disgust': 0.17, 'fear': 0.12, 'happy': 0.86, 'sad': 0.25, 'surprise': 0.76, 'neutral': 0.83}
Date: 2024-12-04 | Time: 18:04:00 | Transition: fear -> happy | Duration: 0.92s | Scores: {'angry': 0.22, 'disgust': 0.1, 'fear': 0.2, 'happy': 0.63, 'sad': 0.15, 'surprise': 0.81, 'neutral': 0.88}
Date: 2024-12-04 | Time: 19:38:00 | Transition: fear -> happy | Duration: 1.04s | Scores: {'angry': 0.3, 'disgust': 0.07, 'fear': 0.06, 'happy': 0.6, 'sad': 0.17, 'surprise': 0.65, 'neutral': 0.7}
Date: 2024-12-04 | Time: 22:19:00 | Transition: sad -> neutral | Duration: 1.49s | Scores: {'angry': 0.33, 'disgust': 0.09, 'fear': 0.16, 'happy': 0.88, 'sad': 0.29, 'surprise': 0.63, 'neutral': 0.84}
Date: 2024-12-05 | Time: 03:36:00 | Transition: surprise -> angry | Duration: 0.4s | Scores: {'angry': 0.16, 'disgust': 0.1, 'fear': 0.14, 'happy': 0.33, 'sad': 0.18, 'surprise': 0.09, 'neutral': 0.28}
Date: 2024-12-05 | Time: 05:25:00 | Transition: surprise -> neutral | Duration: 0.5s | Scores: {'angry': 0.24, 'disgust': 0.22, 'fear': 0.11, 'happy': 0.74, 'sad': 0.2, 'surprise': 0.65, 'neutral': 0.79}
Date: 2024-12-05 | Time: 06:28:00 | Transition: angry -> surprise | Duration: 0.92s | Scores: {'angry': 0.05, 'disgust': 0.27, 'fear': 0.23, 'happy': 0.75, 'sad': 0.2, 'surprise': 0.66, 'neutral': 0.56}
Date: 2024-12-05 | Time: 07:26:00 | Transition: fear -> surprise | Duration: 1.23s | Scores: {'angry': 0.22, 'disgust': 0.29, 'fear': 0.07, 'happy': 0.51, 'sad': 0.09, 'surprise': 0.63, 'neutral': 0.6}
Date: 2024-12-05 | Time: 09:41:00 | Transition: neutral -> neutral | Duration: 1.16s | Scores: {'angry': 0.19, 'disgust': 0.19, 'fear': 0.05, 'happy': 0.69, 'sad': 0.13, 'surprise': 0.8, 'neutral': 0.85}
Date: 2024-12-05 | Time: 11:05:00 | Transition: fear -> neutral | Duration: 1.66s | Scores: {'angry': 0.17, 'disgust': 0.19, 'fear': 0.3, 'happy': 0.8, 'sad': 0.29, 'surprise': 0.88, 'neutral': 0.76}
Date: 2024-12-05 | Time: 12:46:00 | Transition: sad -> neutral | Duration: 1.89s | Scores: {'angry': 0.18, 'disgust': 0.12, 'fear': 0.17, 'happy': 0.78, 'sad': 0.15, 'surprise': 0.59, 'neutral': 0.52}
Date: 2024-12-05 | Time: 15:03:00 | Transition: fear -> happy | Duration: 0.59s | Scores: {'angry': 0.36, 'disgust': 0.16, 'fear': 0.24, 'happy': 0.5, 'sad': 0.27, 'surprise': 0.55, 'neutral': 0.6}
Date: 2024-12-05 | Time: 16:25:00 | Transition: sad -> neutral | Duration: 1.48s | Scores: {'angry': 0.13, 'disgust': 0.25, 'fear': 0.07, 'happy': 0.63, 'sad': 0.23, 'surprise': 0.65, 'neutral': 0.67}
Date: 2024-12-05 | Time: 19:33:00 | Transition: disgust -> surprise | Duration: 1.93s | Scores: {'angry': 0.22, 'disgust': 0.14, 'fear': 0.14, 'happy': 0.64, 'sad': 0.14, 'surprise': 0.63, 'neutral': 0.54}
Date: 2024-12-05 | Time: 23:49:00 | Transition: happy -> surprise | Duration: 1.43s | Scores: {'angry': 0.17, 'disgust': 0.19, 'fear': 0.11, 'happy': 0.66, 'sad': 0.24, 'surprise': 0.57, 'neutral': 0.54}
Date: 2024-12-06 | Time: 06:28:00 | Transition: fear -> surprise | Duration: 1.35s | Scores: {'angry': 0.05, 'disgust': 0.18, 'fear': 0.14, 'happy': 0.58, 'sad': 0.08, 'surprise': 0.51, 'neutral': 0.75}
Date: 2024-12-06 | Time: 10:31:00 | Transition: fear -> happy | Duration: 1.42s | Scores: {'angry': 0.32, 'disgust': 0.14, 'fear': 0.28, 'happy': 0.6, 'sad': 0.24, 'surprise': 0.87, 'neutral': 0.58}
Date: 2024-12-06 | Time: 22:28:00 | Transition: surprise -> disgust | Duration: 1.26s | Scores: {'angry': 0.07, 'disgust': 0.18, 'fear': 0.06, 'happy': 0.3, 'sad': 0.23, 'surprise': 0.3, 'neutral': 0.27}
Date: 2024-12-06 | Time: 22:35:00 | Transition: happy -> surprise | Duration: 1.89s | Scores: {'angry': 0.35, 'disgust': 0.16, 'fear': 0.2, 'happy': 0.51, 'sad': 0.28, 'surprise': 0.61, 'neutral': 0.88}
Date: 2024-12-07 | Time: 01:58:00 | Transition: neutral -> neutral | Duration: 0.73s | Scores: {'angry': 0.17, 'disgust': 0.25, 'fear': 0.29, 'happy': 0.62, 'sad': 0.24, 'surprise': 0.87, 'neutral': 0.75}
Date: 2024-12-07 | Time: 02:50:00 | Transition: surprise -> neutral | Duration: 1.54s | Scores: {'angry': 0.38, 'disgust': 0.21, 'fear': 0.11, 'happy': 0.86, 'sad': 0.07, 'surprise': 0.84, 'neutral': 0.51}
Date: 2024-12-07 | Time: 04:57:00 | Transition: fear -> neutral | Duration: 1.97s | Scores: {'angry': 0.28, 'disgust': 0.05, 'fear': 0.24, 'happy': 0.53, 'sad': 0.13, 'surprise': 0.65, 'neutral': 0.59}
Date: 2024-12-07 | Time: 05:31:00 | Transition: disgust -> neutral | Duration: 0.32s | Scores: {'angry': 0.38, 'disgust': 0.1, 'fear': 0.12, 'happy': 0.66, 'sad': 0.2, 'surprise': 0.71, 'neutral': 0.78}
Date: 2024-12-07 | Time: 06:14:00 | Transition: disgust -> surprise | Duration: 1.84s | Scores: {'angry': 0.21, 'disgust': 0.28, 'fear': 0.19, 'happy': 0.69, 'sad': 0.2, 'surprise': 0.62, 'neutral': 0.75}
Date: 2024-12-07 | Time: 07:05:00 | Transition: disgust -> fear | Duration: 0.62s | Scores: {'angry': 0.25, 'disgust': 0.27, 'fear': 0.12, 'happy': 0.09, 'sad': 0.15, 'surprise': 0.28, 'neutral': 0.35}
Date: 2024-12-07 | Time: 07:22:00 | Transition: angry -> neutral | Duration: 0.79s | Scores: {'angry': 0.4, 'disgust': 0.08, 'fear': 0.16, 'happy': 0.61, 'sad': 0.29, 'surprise': 0.87, 'neutral': 0.66}
Date: 2024-12-07 | Time: 07:37:00 | Transition: surprise -> surprise | Duration: 1.04s | Scores: {'angry': 0.4, 'disgust': 0.24, 'fear': 0.26, 'happy': 0.7, 'sad': 0.23, 'surprise': 0.67, 'neutral': 0.89}
Date: 2024-12-07 | Time: 08:22:00 | Transition: surprise -> neutral | Duration: 1.31s | Scores: {'angry': 0.06, 'disgust': 0.06, 'fear': 0.29, 'happy': 0.63, 'sad': 0.26, 'surprise': 0.7, 'neutral': 0.76}
Date: 2024-12-07 | Time: 10:49:00 | Transition: angry -> neutral | Duration: 1.79s | Scores: {'angry': 0.12, 'disgust': 0.09, 'fear': 0.2, 'happy': 0.7, 'sad': 0.27, 'surprise': 0.71, 'neutral': 0.63}
Date: 2024-12-07 | Time: 11:04:00 | Transition: disgust -> happy | Duration: 1.67s | Scores: {'angry': 0.19, 'disgust': 0.24, 'fear': 0.18, 'happy': 0.55, 'sad': 0.1, 'surprise': 0.76, 'neutral': 0.75}
Date: 2024-12-07 | Time: 13:21:00 | Transition: sad -> happy | Duration: 0.78s | Scores: {'angry': 0.13, 'disgust': 0.05, 'fear': 0.19, 'happy': 0.88, 'sad': 0.29, 'surprise': 0.57, 'neutral': 0.77}
Date: 2024-12-07 | Time: 16:43:00 | Transition: sad -> happy | Duration: 0.76s | Scores: {'angry': 0.06, 'disgust': 0.07, 'fear': 0.29, 'happy': 0.84, 'sad': 0.17, 'surprise': 0.83, 'neutral': 0.63}
Date: 2024-12-07 | Time: 18:28:00 | Transition: sad -> neutral | Duration: 1.18s | Scores: {'angry': 0.32, 'disgust': 0.27, 'fear': 0.18, 'happy': 0.61, 'sad': 0.09, 'surprise': 0.59, 'neutral': 0.59}
Date: 2024-12-07 | Time: 23:27:00 | Transition: happy -> sad | Duration: 1.55s | Scores: {'angry': 0.25, 'disgust': 0.18, 'fear': 0.07, 'happy': 0.29, 'sad': 0.06, 'surprise': 0.28, 'neutral': 0.08}
Date: 2024-12-08 | Time: 05:08:00 | Transition: happy -> surprise | Duration: 0.55s | Scores: {'angry': 0.38, 'disgust': 0.22, 'fear': 0.24, 'happy': 0.54, 'sad': 0.24, 'surprise': 0.61, 'neutral': 0.78}
Date: 2024-12-08 | Time: 06:50:00 | Transition: fear -> surprise | Duration: 1.9s | Scores: {'angry': 0.34, 'disgust': 0.25, 'fear': 0.22, 'happy': 0.73, 'sad': 0.19, 'surprise': 0.57, 'neutral': 0.73}
Date: 2024-12-08 | Time: 08:25:00 | Transition: angry -> happy | Duration: 1.7s | Scores: {'angry': 0.34, 'disgust': 0.16, 'fear': 0.07, 'happy': 0.75, 'sad': 0.09, 'surprise': 0.71, 'neutral': 0.84}
Date: 2024-12-08 | Time: 11:15:00 | Transition: sad -> neutral | Duration: 0.62s | Scores: {'angry': 0.08, 'disgust': 0.22, 'fear': 0.07, 'happy': 0.64, 'sad': 0.27, 'surprise': 0.59, 'neutral': 0.74}
Date: 2024-12-08 | Time: 11:38:00 | Transition: surprise -> surprise | Duration: 0.9s | Scores: {'angry': 0.24, 'disgust': 0.19, 'fear': 0.18, 'happy': 0.64, 'sad': 0.19, 'surprise': 0.74, 'neutral': 0.71}
Date: 2024-12-08 | Time: 14:33:00 | Transition: surprise -> happy | Duration: 1.73s | Scores: {'angry': 0.37, 'disgust': 0.27, 'fear': 0.22, 'happy': 0.69, 'sad': 0.11, 'surprise': 0.67, 'neutral': 0.59}
Date: 2024-12-08 | Time: 15:30:00 | Transition: neutral -> surprise | Duration: 0.85s | Scores: {'angry': 0.16, 'disgust': 0.25, 'fear': 0.12, 'happy': 0.66, 'sad': 0.29, 'surprise': 0.52, 'neutral': 0.75}
Date: 2024-12-08 | Time: 15:50:00 | Transition: disgust -> neutral | Duration: 0.52s | Scores: {'angry': 0.26, 'disgust': 0.17, 'fear': 0.25, 'happy': 0.68, 'sad': 0.16, 'surprise': 0.51, 'neutral': 0.52}
Date: 2024-12-08 | Time: 15:59:00 | Transition: disgust -> surprise | Duration: 1.54s | Scores: {'angry': 0.38, 'disgust': 0.14, 'fear': 0.18, 'happy': 0.65, 'sad': 0.29, 'surprise': 0.62, 'neutral': 0.71}
Date: 2024-12-08 | Time: 19:47:00 | Transition: sad -> angry | Duration: 0.89s | Scores: {'angry': 0.07, 'disgust': 0.18, 'fear': 0.19, 'happy': 0.26, 'sad': 0.07, 'surprise': 0.36, 'neutral': 0.16}
Date: 2024-12-08 | Time: 20:12:00 | Transition: disgust -> angry | Duration: 0.54s | Scores: {'angry': 0.31, 'disgust': 0.23, 'fear': 0.19, 'happy': 0.26, 'sad': 0.26, 'surprise': 0.24, 'neutral': 0.26}
Date: 2024-12-08 | Time: 20:31:00 | Transition: fear -> neutral | Duration: 0.79s | Scores: {'angry': 0.23, 'disgust': 0.11, 'fear': 0.05, 'happy': 0.84, 'sad': 0.12, 'surprise': 0.88, 'neutral': 0.79}
Date: 2024-12-08 | Time: 22:23:00 | Transition: sad -> surprise | Duration: 0.7s | Scores: {'angry': 0.36, 'disgust': 0.09, 'fear': 0.2, 'happy': 0.74, 'sad': 0.1, 'surprise': 0.7, 'neutral': 0.75}
Date: 2024-12-08 | Time: 22:24:00 | Transition: neutral -> surprise | Duration: 0.98s | Scores: {'angry': 0.27, 'disgust': 0.23, 'fear': 0.18, 'happy': 0.8, 'sad': 0.27, 'surprise': 0.88, 'neutral': 0.52}
Date: 2024-12-09 | Time: 00:01:00 | Transition: neutral -> surprise | Duration: 0.2s | Scores: {'angry': 0.14, 'disgust': 0.07, 'fear': 0.28, 'happy': 0.57, 'sad': 0.1, 'surprise': 0.85, 'neutral': 0.68}
Date: 2024-12-09 | Time: 00:26:00 | Transition: angry -> surprise | Duration: 1.77s | Scores: {'angry': 0.1, 'disgust': 0.27, 'fear': 0.14, 'happy': 0.7, 'sad': 0.18, 'surprise': 0.71, 'neutral': 0.69}
Date: 2024-12-09 | Time: 00:28:00 | Transition: neutral -> neutral | Duration: 0.68s | Scores: {'angry': 0.07, 'disgust': 0.23, 'fear': 0.26, 'happy': 0.88, 'sad': 0.28, 'surprise': 0.62, 'neutral': 0.71}
Date: 2024-12-09 | Time: 01:02:00 | Transition: sad -> neutral | Duration: 0.83s | Scores: {'angry': 0.34, 'disgust': 0.12, 'fear': 0.29, 'happy': 0.51, 'sad': 0.15, 'surprise': 0.72, 'neutral': 0.52}
Date: 2024-12-09 | Time: 02:49:00 | Transition: angry -> disgust | Duration: 1.93s | Scores: {'angry': 0.36, 'disgust': 0.26, 'fear': 0.19, 'happy': 0.07, 'sad': 0.22, 'surprise': 0.35, 'neutral': 0.28}
Date: 2024-12-09 | Time: 02:54:00 | Transition: surprise -> neutral | Duration: 1.23s | Scores: {'angry': 0.28, 'disgust': 0.26, 'fear': 0.12, 'happy': 0.58, 'sad': 0.08, 'surprise': 0.8, 'neutral': 0.73}
Date: 2024-12-09 | Time: 06:29:00 | Transition: surprise -> surprise | Duration: 1.82s | Scores: {'angry': 0.18, 'disgust': 0.1, 'fear': 0.18, 'happy': 0.86, 'sad': 0.14, 'surprise': 0.52, 'neutral': 0.87}
Date: 2024-12-09 | Time: 07:29:00 | Transition: fear -> happy | Duration: 0.79s | Scores: {'angry': 0.09, 'disgust': 0.29, 'fear': 0.16, 'happy': 0.74, 'sad': 0.15, 'surprise': 0.83, 'neutral': 0.84}
Date: 2024-12-09 | Time: 08:49:00 | Transition: disgust -> neutral | Duration: 0.72s | Scores: {'angry': 0.09, 'disgust': 0.18, 'fear': 0.23, 'happy': 0.89, 'sad': 0.3, 'surprise': 0.57, 'neutral': 0.64}
Date: 2024-12-09 | Time: 09:58:00 | Transition: angry -> surprise | Duration: 1.37s | Scores: {'angry': 0.11, 'disgust': 0.24, 'fear': 0.1, 'happy': 0.78, 'sad': 0.19, 'surprise': 0.66, 'neutral': 0.8}
Date: 2024-12-09 | Time: 12:43:00 | Transition: surprise -> surprise | Duration: 0.21s | Scores: {'angry': 0.28, 'disgust': 0.29, 'fear': 0.1, 'happy': 0.79, 'sad': 0.14, 'surprise': 0.69, 'neutral': 0.81}
Date: 2024-12-09 | Time: 13:24:00 | Transition: neutral -> neutral | Duration: 0.82s | Scores: {'angry': 0.23, 'disgust': 0.19, 'fear': 0.2, 'happy': 0.72, 'sad': 0.29, 'surprise': 0.7, 'neutral': 0.88}
Date: 2024-12-09 | Time: 17:16:00 | Transition: surprise -> surprise | Duration: 0.95s | Scores: {'angry': 0.13, 'disgust': 0.06, 'fear': 0.12, 'happy': 0.69, 'sad': 0.1, 'surprise': 0.74, 'neutral': 0.66}
Date: 2024-12-09 | Time: 18:42:00 | Transition: surprise -> happy | Duration: 1.45s | Scores: {'angry': 0.2, 'disgust': 0.18, 'fear': 0.28, 'happy': 0.75, 'sad': 0.19, 'surprise': 0.73, 'neutral': 0.57}
Date: 2024-12-09 | Time: 22:53:00 | Transition: happy -> happy | Duration: 0.31s | Scores: {'angry': 0.3, 'disgust': 0.18, 'fear': 0.26, 'happy': 0.67, 'sad': 0.11, 'surprise': 0.57, 'neutral': 0.86}
Date: 2024-12-10 | Time: 00:02:00 | Transition: sad -> surprise | Duration: 1.66s | Scores: {'angry': 0.31, 'disgust': 0.26, 'fear': 0.12, 'happy': 0.87, 'sad': 0.1, 'surprise': 0.68, 'neutral': 0.71}
Date: 2024-12-10 | Time: 00:26:00 | Transition: angry -> neutral | Duration: 1.48s | Scores: {'angry': 0.23, 'disgust': 0.12, 'fear': 0.06, 'happy': 0.53, 'sad': 0.23, 'surprise': 0.74, 'neutral': 0.8}
Date: 2024-12-10 | Time: 04:14:00 | Transition: surprise -> surprise | Duration: 1.62s | Scores: {'angry': 0.26, 'disgust': 0.28, 'fear': 0.09, 'happy': 0.77, 'sad': 0.2, 'surprise': 0.74, 'neutral': 0.64}
Date: 2024-12-10 | Time: 05:34:00 | Transition: surprise -> neutral | Duration: 1.21s | Scores: {'angry': 0.35, 'disgust': 0.18, 'fear': 0.1, 'happy': 0.74, 'sad': 0.28, 'surprise': 0.62, 'neutral': 0.7}
Date: 2024-12-10 | Time: 07:46:00 | Transition: disgust -> surprise | Duration: 0.28s | Scores: {'angry': 0.24, 'disgust': 0.2, 'fear': 0.27, 'happy': 0.72, 'sad': 0.09, 'surprise': 0.61, 'neutral': 0.77}
Date: 2024-12-10 | Time: 10:49:00 | Transition: surprise -> happy | Duration: 0.68s | Scores: {'angry': 0.1, 'disgust': 0.21, 'fear': 0.08, 'happy': 0.62, 'sad': 0.15, 'surprise': 0.9, 'neutral': 0.58}
Date: 2024-12-10 | Time: 12:30:00 | Transition: sad -> surprise | Duration: 1.66s | Scores: {'angry': 0.09, 'disgust': 0.14, 'fear': 0.22, 'happy': 0.78, 'sad': 0.14, 'surprise': 0.71, 'neutral': 0.82}
Date: 2024-12-10 | Time: 12:58:00 | Transition: disgust -> neutral | Duration: 1.76s | Scores: {'angry': 0.39, 'disgust': 0.2, 'fear': 0.18, 'happy': 0.54, 'sad': 0.21, 'surprise': 0.71, 'neutral': 0.77}
Date: 2024-12-10 | Time: 14:50:00 | Transition: fear -> surprise | Duration: 1.89s | Scores: {'angry': 0.16, 'disgust': 0.15, 'fear': 0.17, 'happy': 0.6, 'sad': 0.22, 'surprise': 0.72, 'neutral': 0.73}
Date: 2024-12-11 | Time: 00:57:00 | Transition: surprise -> surprise | Duration: 1.78s | Scores: {'angry': 0.39, 'disgust': 0.18, 'fear': 0.2, 'happy': 0.81, 'sad': 0.18, 'surprise': 0.65, 'neutral': 0.65}
Date: 2024-12-11 | Time: 01:10:00 | Transition: surprise -> angry | Duration: 0.53s | Scores: {'angry': 0.23, 'disgust': 0.12, 'fear': 0.28, 'happy': 0.33, 'sad': 0.08, 'surprise': 0.08, 'neutral': 0.06}
Date: 2024-12-11 | Time: 04:51:00 | Transition: happy -> sad | Duration: 1.22s | Scores: {'angry': 0.08, 'disgust': 0.16, 'fear': 0.08, 'happy': 0.06, 'sad': 0.25, 'surprise': 0.3, 'neutral': 0.26}
Date: 2024-12-11 | Time: 05:52:00 | Transition: sad -> neutral | Duration: 1.48s | Scores: {'angry': 0.21, 'disgust': 0.25, 'fear': 0.26, 'happy': 0.72, 'sad': 0.21, 'surprise': 0.6, 'neutral': 0.54}
Date: 2024-12-11 | Time: 13:55:00 | Transition: surprise -> surprise | Duration: 0.38s | Scores: {'angry': 0.32, 'disgust': 0.15, 'fear': 0.26, 'happy': 0.53, 'sad': 0.1, 'surprise': 0.61, 'neutral': 0.73}
Date: 2024-12-11 | Time: 15:01:00 | Transition: happy -> surprise | Duration: 1.52s | Scores: {'angry': 0.39, 'disgust': 0.07, 'fear': 0.2, 'happy': 0.68, 'sad': 0.12, 'surprise': 0.8, 'neutral': 0.76}
Date: 2024-12-11 | Time: 15:10:00 | Transition: disgust -> surprise | Duration: 1.62s | Scores: {'angry': 0.2, 'disgust': 0.13, 'fear': 0.11, 'happy': 0.53, 'sad': 0.09, 'surprise': 0.73, 'neutral': 0.58}
Date: 2024-12-11 | Time: 17:00:00 | Transition: surprise -> happy | Duration: 1.31s | Scores: {'angry': 0.08, 'disgust': 0.08, 'fear': 0.29, 'happy': 0.6, 'sad': 0.19, 'surprise': 0.74, 'neutral': 0.57}
Date: 2024-12-11 | Time: 18:23:00 | Transition: neutral -> sad | Duration: 0.27s | Scores: {'angry': 0.3, 'disgust': 0.07, 'fear': 0.09, 'happy': 0.09, 'sad': 0.13, 'surprise': 0.36, 'neutral': 0.18}
Date: 2024-12-11 | Time: 19:45:00 | Transition: surprise -> neutral | Duration: 1.72s | Scores: {'angry': 0.1, 'disgust': 0.17, 'fear': 0.11, 'happy': 0.64, 'sad': 0.2, 'surprise': 0.75, 'neutral': 0.7}
Date: 2024-12-11 | Time: 22:57:00 | Transition: sad -> surprise | Duration: 1.71s | Scores: {'angry': 0.21, 'disgust': 0.12, 'fear': 0.3, 'happy': 0.79, 'sad': 0.25, 'surprise': 0.64, 'neutral': 0.51}
Date: 2024-12-12 | Time: 02:15:00 | Transition: angry -> surprise | Duration: 1.7s | Scores: {'angry': 0.19, 'disgust': 0.29, 'fear': 0.22, 'happy': 0.55, 'sad': 0.27, 'surprise': 0.87, 'neutral': 0.59}
Date: 2024-12-12 | Time: 03:38:00 | Transition: sad -> sad | Duration: 1.47s | Scores: {'angry': 0.32, 'disgust': 0.06, 'fear': 0.27, 'happy': 0.24, 'sad': 0.09, 'surprise': 0.39, 'neutral': 0.29}
Date: 2024-12-12 | Time: 07:52:00 | Transition: sad -> neutral | Duration: 0.99s | Scores: {'angry': 0.3, 'disgust': 0.19, 'fear': 0.16, 'happy': 0.63, 'sad': 0.21, 'surprise': 0.78, 'neutral': 0.55}
Date: 2024-12-12 | Time: 09:23:00 | Transition: fear -> surprise | Duration: 1.09s | Scores: {'angry': 0.2, 'disgust': 0.05, 'fear': 0.06, 'happy': 0.54, 'sad': 0.2, 'surprise': 0.67, 'neutral': 0.88}
Date: 2024-12-12 | Time: 09:24:00 | Transition: happy -> neutral | Duration: 1.01s | Scores: {'angry': 0.18, 'disgust': 0.11, 'fear': 0.23, 'happy': 0.89, 'sad': 0.11, 'surprise': 0.64, 'neutral': 0.9}
Date: 2024-12-12 | Time: 11:18:00 | Transition: happy -> surprise | Duration: 1.12s | Scores: {'angry': 0.35, 'disgust': 0.3, 'fear': 0.25, 'happy': 0.67, 'sad': 0.23, 'surprise': 0.88, 'neutral': 0.52}
Date: 2024-12-13 | Time: 02:22:00 | Transition: sad -> neutral | Duration: 1.25s | Scores: {'angry': 0.2, 'disgust': 0.05, 'fear': 0.22, 'happy': 0.62, 'sad': 0.06, 'surprise': 0.53, 'neutral': 0.75}
Date: 2024-12-13 | Time: 03:19:00 | Transition: neutral -> surprise | Duration: 0.38s | Scores: {'angry': 0.06, 'disgust': 0.05, 'fear': 0.18, 'happy': 0.54, 'sad': 0.14, 'surprise': 0.74, 'neutral': 0.59}
Date: 2024-12-13 | Time: 03:40:00 | Transition: disgust -> happy | Duration: 1.14s | Scores: {'angry': 0.23, 'disgust': 0.2, 'fear': 0.26, 'happy': 0.6, 'sad': 0.06, 'surprise': 0.55, 'neutral': 0.62}
Date: 2024-12-13 | Time: 04:52:00 | Transition: sad -> happy | Duration: 1.24s | Scores: {'angry': 0.24, 'disgust': 0.21, 'fear': 0.12, 'happy': 0.6, 'sad': 0.17, 'surprise': 0.57, 'neutral': 0.56}
Date: 2024-12-13 | Time: 06:47:00 | Transition: sad -> surprise | Duration: 1.69s | Scores: {'angry': 0.16, 'disgust': 0.26, 'fear': 0.06, 'happy': 0.67, 'sad': 0.11, 'surprise': 0.59, 'neutral': 0.55}
Date: 2024-12-13 | Time: 10:39:00 | Transition: angry -> surprise | Duration: 1.49s | Scores: {'angry': 0.32, 'disgust': 0.29, 'fear': 0.14, 'happy': 0.6, 'sad': 0.27, 'surprise': 0.85, 'neutral': 0.66}
Date: 2024-12-13 | Time: 10:47:00 | Transition: happy -> surprise | Duration: 0.2s | Scores: {'angry': 0.1, 'disgust': 0.23, 'fear': 0.23, 'happy': 0.83, 'sad': 0.17, 'surprise': 0.55, 'neutral': 0.56}
